Public Food Key,Name,Description
F004830,"Lamb, all cuts, separable fat, cooked","Cooked internal and external separable fat from 11 different cuts of lamb from various regions of the carcase. Oven baked or grilled as purchased, still attached to the lean muscle meat, with no added fat to an internal temperature of 70 degrees celsius or until 'medium', then dissected."
F004846,"Lamb, boneless, fillet or loin, untrimmed, raw","Raw lamb from the midsection of the carcase. Lean muscle meat only, with all internal and external separable fat."
F004845,"Lamb, boneless, fillet or loin, untrimmed, grilled, no added fat","Lamb from the midsection of the carcase. Lean muscle meat only, with all internal and external separable fat. Grilled for 6 minutes."
F004844,"Lamb, boneless, fillet or loin, lean, raw","Raw lamb from the midsection of the carcase. Lean muscle meat only, with all internal and external separable fat removed."
F004843,"Lamb, boneless, fillet or loin, lean, grilled, no added fat","Lamb from the midsection of the carcase. Lean muscle meat only, with all internal and external separable fat removed. Grilled for 6 minutes."
F004890,"Lamb, chop, with bone, loin or chump, lean, raw",Raw lamb from the hind portion of the carcase. Lean muscle meat with some inseparable internal fat. Majority of internal and external separable fat removed.
F004889,"Lamb, chop, with bone, loin or chump, lean, grilled, no added fat",Cooked lamb from the hind portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with some inseparable fat. All possible internal and external separable fat removed after cooking.
F004892,"Lamb, chop, with bone, loin or chump, semi-trimmed, raw",Raw lamb from the hind portion of the carcase. Lean muscle meat and internal fat. Majority of external fat removed.
F004891,"Lamb, chop, with bone, loin or chump, semi-trimmed, grilled, no added fat",Cooked lamb from the hind portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat and internal fat. Majority of external fat removed after cooking.
F004894,"Lamb, chop, with bone, loin or chump, untrimmed, raw",Raw lamb from the hind portion of the carcase. Lean muscle meat with all internal and external fat attached.
F004893,"Lamb, chop, with bone, loin or chump, untrimmed, grilled, no added fat",Cooked lamb from the hind portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with all internal and external fat attached.
F004899,"Lamb, chop, with bone, chump, lean, raw","Raw lamb from the hind portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed."
F004898,"Lamb, chop, with bone, chump, lean, grilled, no added fat","Cooked lamb from the hind portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking."
F004908,"Lamb, chop, with bone, chump, semi-trimmed, raw",Raw lamb from the hind portion of the carcase. Lean muscle meat with internal fat. Majority of external fat removed.
F004907,"Lamb, chop, with bone, chump, semi-trimmed, grilled, no added fat",Cooked lamb from the hind portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with internal fat. Majority of external fat removed after cooking.
F004911,"Lamb, chop, with bone, chump, untrimmed, raw",Raw lamb from the hind portion of the carcase. Lean muscle meat with internal and external fat attached.
F004910,"Lamb, chop, with bone, chump, untrimmed, grilled, no added fat",Cooked lamb from the hind portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with internal and external fat attached.
F004928,"Lamb, diced, lean, raw","Raw lamb, purchased diced and likely to be from various regions of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed."
F004929,"Lamb, diced, lean, stir-fried, no added fat","Cooked lamb, purchased diced and likely to be from various regions of the carcase. Fried for 3-5 minutes with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking."
F004927,"Lamb, diced, lean, casseroled, no added fat","Cooked lamb, purchased diced and likely to be from various regions of the carcase. casseroled with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking."
F004931,"Lamb, diced, untrimmed, raw","Raw lamb, purchased diced and likely to be from various regions of the carcase. Lean muscle meat with internal and external fat attached."
F004932,"Lamb, diced, untrimmed, stir-fried, no added fat","Cooked lamb, purchased diced and likely to be from various regions of the carcase. Fried for 3-5 minutes with no added fat. Lean muscle meat with internal and external fat attached."
F004930,"Lamb, diced, untrimmed, casseroled, no added fat","Cooked lamb, purchased diced and likely to be from various regions of the carcase. Casseroled with no added fat. Lean muscle meat with internal and external fat attached."
F004838,"Lamb, boneless dice or strips, lean, raw","Raw lamb, purchased diced or as strips and likely to be from various regions of the carcase. Lean muscle meat with some inseparable internal fat. All possible internal and external separable fat removed."
F004839,"Lamb, boneless dice or strips, lean, stir-fried, no added fat","Cooked lamb, purchased diced or as strips and likely to be from various regions of the carcase. Fried for 3-5 minutes with no added fat. Lean muscle meat with some inseparable internal fat. All possible internal and external separable fat removed after cooking."
F004837,"Lamb, boneless dice or strips, lean, casseroled, no added fat","Cooked lamb, purchased diced or as strips and likely to be from various regions of the carcase. Casseroled with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed."
F004841,"Lamb, boneless dice or strips, untrimmed, raw","Raw lamb, purchased diced or as strips and likely to be from various regions of the carcase. Lean muscle meat with  all internal and external fat attached."
F004842,"Lamb, boneless dice or strips, untrimmed, stir-fried, no added fat","Cooked lamb, purchased diced or as strips and likely to be from various regions of the carcase. Fried for 3-5 minutes with no added fat. Lean muscle meat with all internal and external fat attached."
F004840,"Lamb, boneless dice or strips, untrimmed, casseroled, no added fat","Cooked lamb, purchased diced or as strips and likely to be from various regions of the carcase. Casseroled with no added fat. Lean muscle meat with internal and external fat attached."
F004948,"Lamb, eye of loin, lean, raw","Raw lamb from the midsection of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed."
F004947,"Lamb, eye of loin, lean, microwaved, no added fat","Lamb from the midsection of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed. Grilled for 6 minutes."
F004951,"Lamb, eye of loin, untrimmed, raw","Raw lamb from the midsection of the carcase. Lean muscle meat only, with all internal and external separable fat."
F004950,"Lamb, eye of loin, untrimmed, microwaved, no added fat","Cooked lamb from the midsection of the carcase. Lean muscle meat only, with all internal and external separable fat. Cooked for 3-7 mins."
F005074,"Lamb, roasting piece, shoulder, lean, raw","Raw lamb from the fore portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed."
F005067,"Lamb, roasting piece, shoulder, lean, roasted, no added fat","Cooked lamb from the fore portion of the carcase. Oven baked to an internal temperature of 70 degrees celsius with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking."
F005075,"Lamb, roasting piece, shoulder, semi-trimmed, raw",Raw lamb from the fore portion of the carcase. Lean muscle meat with internal fat. Majority of external fat removed.
F005076,"Lamb, roasting piece, shoulder, semi-trimmed, roasted, no added fat",Cooked lamb from the fore portion of the carcase. Oven baked to an internal temperature of 70 degrees celsius with no added fat. Lean muscle meat with internal fat. Majority of external fat removed after cooking.
F005077,"Lamb, roasting piece, shoulder, untrimmed, raw",Raw lamb from the fore portion of the carcase. Lean muscle meat with internal and external fat attached.
F005078,"Lamb, roasting piece, shoulder, untrimmed, roasted, no added fat",Cooked lamb from the fore portion of the carcase. Oven baked to an internal temperature of 70 degrees celsius with no added fat. Lean muscle meat with internal and external fat attached.
F004885,"Lamb, chop, with bone, forequarter, lean, raw","Raw lamb from the fore portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed."
F004884,"Lamb, chop, with bone, forequarter, lean, grilled, no added fat","Cooked lamb from the fore portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking."
F004887,"Lamb, chop, with bone, forequarter, semi-trimmed, raw",Raw lamb from the fore portion of the carcase. Lean muscle meat with internal fat. Majority of external fat removed.
F004886,"Lamb, chop, with bone, forequarter, semi-trimmed, grilled, no added fat",Cooked lamb from the fore portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with internal fat. Majority of external fat removed after cooking.
F004888,"Lamb, chop, with bone, forequarter, untrimmed, raw",Raw lamb from the fore portion of the carcase. Lean muscle meat with internal and external fat attached.
F004883,"Lamb, chop, with bone, forequarter, grilled, no added fat",Cooked lamb from the fore portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with internal and external fat attached.
F004919,"Lamb, cutlet or frenched cutlet, with bone, lean, raw","Raw lamb from the midsection of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed."
F004918,"Lamb, cutlet or frenched cutlet, with bone, lean, grilled, no added fat","Cooked lamb from the midsection of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking."
F004921,"Lamb, cutlet or frenched cutlet, with bone, semi-trimmed, raw",Raw lamb from the midsection of the carcase. Lean muscle meat with internal fat. Majority of external fat removed.
F004920,"Lamb, cutlet or frenched cutlet, with bone, semi-trimmed, grilled, no added fat",Cooked lamb from the midsection of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with internal fat. Majority of external fat removed after cooking.
F004923,"Lamb, cutlet or frenched cutlet, with bone, untrimmed, raw",Raw lamb from the midsection of the carcase. Lean muscle meat with internal and external fat attached.
F004922,"Lamb, cutlet or frenched cutlet, with bone, untrimmed, grilled, no added fat",Cooked lamb from the midsection of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with internal and external fat attached.
F004954,"Lamb, fillet, lean, raw","Raw lamb from the midsection of the carcase. Lean muscle meat only, with all possible internal and external separable fat."
F004953,"Lamb, fillet, lean, grilled, no added fat","Lamb from the midsection of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed. Grilled for 6 minutes."
F004956,"Lamb, fillet, untrimmed, raw","Raw lamb from the midsection of the carcase. Lean muscle meat only, with all internal and external separable fat."
F004955,"Lamb, fillet, untrimmed, grilled, no added fat","Cooked lamb from the midsection of the carcase. Lean muscle meat only, with all internal and external separable fat. Grilled for 6 minutes."
F005013,"Lamb, leg roast, lean, raw","Raw lamb from the hind portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed."
F005014,"Lamb, leg roast, lean, roasted, no added fat","Cooked lamb from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees celsius with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking."
F005015,"Lamb, leg roast, semi-trimmed, raw",Raw lamb from the hind portion of the carcase. Lean muscle meat with internal fat. Majority of external fat removed.
F005016,"Lamb, leg roast, semi-trimmed, roasted, no added fat",Cooked lamb from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees celsius with no added fat. Lean muscle meat with internal fat. Majority of external fat removed after cooking.
F005017,"Lamb, leg roast, untrimmed, raw",Raw lamb from the hind portion of the carcase. Lean muscle meat with internal and external fat attached.
F005018,"Lamb, leg roast, untrimmed, roasted, no added fat",Cooked lamb from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees celsius with no added fat. Lean muscle meat with internal and external fat attached.
F005027,"Lamb, loin chop, lean, raw","Raw lamb from the midsection of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed."
F005026,"Lamb, loin chop, lean, grilled, no added fat","Cooked lamb from the midsection of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking."
F005037,"Lamb, loin chop, semi-trimmed, raw",Raw lamb from the midsection of the carcase. Lean muscle meat with internal fat. Majority of external fat removed.
F005036,"Lamb, loin chop, semi-trimmed, grilled, no added fat",Cooked lamb from the midsection of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with internal fat. Majority of external fat removed after cooking.
F005044,"Lamb, loin chop, untrimmed, raw",Raw lamb from the midsection of the carcase. Lean muscle meat with internal and external fat attached.
F005043,"Lamb, loin chop, untrimmed, grilled, no added fat",Cooked lamb from the midsection of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with internal and external fat attached.
F005049,"Lamb, mince, raw",Raw minced lamb.
F005050,"Lamb, mince, stir-fried, no added fat",Minced lamb fried with no added fat.
F005053,"Lamb, mini roast, lean, roasted, no added fat","Cooked lamb from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees  celsius with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking."
F005054,"Lamb, mini roast, semi-trimmed, roasted, no added fat",Cooked lamb from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees  celsius with no added fat. Lean muscle meat with internal fat. Majority of external fat removed after cooking.
F005055,"Lamb, mini roast, untrimmed, roasted, no added fat",Cooked lamb from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees  celsius with no added fat. Lean muscle meat with internal and external fat attached.
F005068,"Lamb, roasting piece, leg or mini roast, lean, raw",Raw lamb from the hind portion of the carcase. Lean muscle meat with some inseparable internal fat. Majority of internal and external separable fat removed.
F005069,"Lamb, roasting piece, leg or mini roast, lean, roasted, no added fat",Cooked lamb from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees  celsius with no added fat. Lean muscle meat with some inseparable internal fat. All possible internal and external separable fat removed after cooking.
F005070,"Lamb, roasting piece, leg or mini roast, semi-trimmed, raw",Raw lamb from the hind portion of the carcase. Lean muscle meat and internal fat. Majority of external fat removed.
F005071,"Lamb, roasting piece, leg or mini roast, semi-trimmed, roasted, no added fat",Cooked lamb from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees  celsius with no added fat. Lean muscle meat and internal fat. Majority of external fat removed after cooking.
F005072,"Lamb, roasting piece, leg or mini roast, untrimmed, raw",Raw lamb from the hind portion of the carcase. Lean muscle meat with all internal and external fat attached.
F005073,"Lamb, roasting piece, leg or mini roast, untrimmed, roasted, no added fat",Cooked lamb from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees  celsius with no added fat. Lean muscle meat with all internal and external fat attached.
F005095,"Lamb, steak, boneless, lean, raw","Raw lamb from the hind portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed."
F005094,"Lamb, steak, boneless, lean, grilled, no added fat","Raw lamb from the hind portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed."
F005097,"Lamb, steak, boneless, semi-trimmed, raw",Raw lamb from the hind portion of the carcase. Lean muscle meat with internal fat. Majority of external fat removed.
F005096,"Lamb, steak, boneless, semi-trimmed, grilled, no added fat",Cooked lamb from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees celsius with no added fat. Lean muscle meat with internal fat. Majority of external fat removed after cooking.
F005099,"Lamb, steak, boneless, untrimmed, raw",Raw lamb from the hind portion of the carcase. Lean muscle meat with internal and external fat attached.
F005098,"Lamb, steak, boneless, untrimmed, grilled, no added fat",Cooked lamb from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees celsius with no added fat. Lean muscle meat with internal and external fat attached.
F005139,"Lamb, with bone, shin, lean, raw",Raw lamb from the fore and hind portions of the carcase. Lean muscle meat with some inseparable internal fat. All possible internal and external separable fat removed.
F005138,"Lamb, with bone, shin, lean, casseroled, no added fat",Cooked lamb from the fore and hind portions of the carcase.  Casseroled with no added fat. Lean muscle meat with internal and external fat attached.
F005141,"Lamb, with bone, shin, semi-trimmed, raw",Raw lamb from the fore and hind portions of the carcase. Lean muscle meat with internal fat. Majority of external fat removed.
F005140,"Lamb, with bone, shin, semi-trimmed, casseroled, no added fat",Cooked lamb from the fore and hind portions of the carcase.  Casseroled with no added fat. Lean muscle meat with internal fat. Majority of external fat removed after cooking.
F005143,"Lamb, with bone, shin, untrimmed, raw",Raw lamb from the fore and hind portions of the carcase. Lean muscle meat with internal and external fat attached.
F005142,"Lamb, with bone, shin, untrimmed, casseroled, no added fat",Cooked lamb from the fore and hind portions of the carcase.  Casseroled with no added fat. Lean muscle meat with internal and external fat attached.
F005121,"Lamb, stir-fry strips, lean, raw","Raw lamb, purchased as strips and likely to be from various regions of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed."
F005122,"Lamb, stir-fry strips, lean, stir-fried, no added fat","Cooked lamb, purchased as strips and likely to be from various regions of the carcase. Fried for 3-5 minutes with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking."
F005120,"Lamb, stir-fry strips, lean, casseroled, no added fat","Cooked lamb, purchased as strips and likely to be from various regions of the carcase. Casseroled with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking."
F005125,"Lamb, stir-fry strips, untrimmed, raw","Raw lamb, purchased as strips and likely to be from various regions of the carcase. Lean muscle meat with internal and external fat attached."
F005126,"Lamb, stir-fry strips, untrimmed, stir-fried, no added fat","Cooked lamb, purchased as strips and likely to be from various regions of the carcase. Fried for 3-5 minutes with no added fat. Lean muscle meat with internal and external fat attached."
F005124,"Lamb, stir-fry strips, untrimmed, casseroled, no added fat","Cooked lamb, purchased as strips and likely to be from various regions of the carcase. Casseroled with no added fat. Lean muscle meat with internal and external fat attached."
F005977,"Mutton, all cuts, separable fat, raw",Raw mutton fat from various regions of the carcase. Internal and external separable fat only.
F005976,"Mutton, all cuts, separable fat, cooked","Cooked mutton fat from various regions of the carcase. Oven baked or casseroled as purchased, still attached to the lean muscle meat, with no added fat to an internal temperature of 70 degrees celsius or for 2 hours, then dissected."
F005979,"Mutton, boneless dice or strips, shoulder, lean, raw","Raw mutton from the fore portion (shoulder) of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed."
F005978,"Mutton, boneless dice or strips, shoulder, lean, casseroled, no added fat","Cooked lamb from the fore portion (shoulder) of the carcase. Browned, simmered in minimal water for 2 hours then drained. Lean muscle meat only, with all possible internal and external separable fat removed after cooking."
F005981,"Mutton, boneless dice or strips, shoulder, semi-trimmed, raw",Raw mutton from the fore portion (shoulder) of the carcase. Lean muscle meat with some inseparable internal fat. Majority of internal and external separable fat removed.
F005980,"Mutton, boneless dice or strips, shoulder, semi-trimmed, casseroled, no added fat","Raw mutton from the fore portion (shoulder) of the carcase. Browned, simmered in minimal water for 2 hours then drained. Lean muscle meat with some inseparable internal fat. Majority of internal and external separable fat removed after cooking."
F005983,"Mutton, boneless dice or strips, shoulder, untrimmed, raw",Raw mutton from the fore portion (shoulder) of the carcase. Lean muscle meat with internal and external fat attached.
F005982,"Mutton, boneless dice or strips, shoulder, untrimmed, casseroled, no added fat","Raw mutton from the fore portion (shoulder) of the carcase. Browned, simmered in minimal water for 2 hours then drained. Lean muscle meat with internal and external fat attached."
F005997,"Mutton, roasting piece, with bone, leg, lean, raw","Raw mutton from the hind portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed."
F005998,"Mutton, roasting piece, with bone, leg, lean, roasted, no added fat","Cooked lamb from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees celsius with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking."
F005999,"Mutton, roasting piece, with bone, leg, semi-trimmed, raw",Raw mutton from the hind portion of the carcase. Lean muscle meat with internal fat. Majority of external fat removed.
F006000,"Mutton, roasting piece, with bone, leg, semi-trimmed, roasted, no added fat",Cooked mutton from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees celsius with no added fat. Lean muscle meat with internal fat. Majority of external fat removed after cooking.
F006001,"Mutton, roasting piece, with bone, leg, untrimmed, raw",Raw mutton from the hind portion of the carcase. Lean muscle meat with internal and external fat attached.
F006002,"Mutton, roasting piece, with bone, leg, untrimmed, roasted, no added fat",Cooked mutton from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees celsius with no added fat. Lean muscle meat with internal and external fat attached.
F004230,"Goat, all cuts, separable fat, raw","Raw internal and external separable fat from 3 different portions (forequarter, loin and leg) of the carcase."
F004229,"Goat, all cuts, separable fat, baked, no added fat","Separable fat from various parts of the goat carcase, roasted."
F004233,"Goat, forequarter, lean, raw","Raw meat from the fore portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed."
F004232,"Goat, forequarter, lean, baked, no added fat","Meat from the forequarter portion of the carcase, with all internal and external fat removed, roasted."
F004235,"Goat, leg, lean, raw","Uncooked meat from the hind portion of the carcase, with all internal and external fat removed."
F004234,"Goat, leg, lean, baked, no added fat","Meat from the hind portion of the carcase, with all internal and external fat removed, roasted."
F004237,"Goat, loin, lean, raw","Uncooked meat from the loin of carcase, with all possible internal and external separable fat removed."
F004236,"Goat, loin, lean, baked, no added fat","Meat from the loin of the carcase, with all internal and external fat removed, roasted."
F004240,"Goat, meat, all cuts, lean, raw","Raw goat meat from 3 different portions (forequarter, loin and leg) of the carcase. Lean muscle meat with internal and external fat removed."
F004238,"Goat, meat, all cuts, lean, baked, no added fat","Cooked goat meat from 3 different portions (forequarter, loin and leg) of the carcase. Lean muscle meat with internal and external fat removed."
F004239,"Goat, meat, all cuts, lean, casseroled, no added fat","Cooked goat meat from 3 different portions (forequarter, loin and leg) of the carcase. Lean muscle meat with internal and external fat removed."
F004243,"Goat, meat, all cuts, untrimmed, raw","Raw goat meat from 3 different portions (forequarter, loin and leg) of the carcase. Lean muscle meat with internal and external fat attached."
F004242,"Goat, meat, all cuts, untrimmed, casseroled, no added fat","Cooked goat meat from 3 different portions (forequarter, loin and leg) of the carcase. Lean muscle meat with internal and external fat attached."
F004241,"Goat, meat, all cuts, untrimmed, baked, no added fat","Cooked goat meat from 3 different portions (forequarter, loin and leg) of the carcase. Lean muscle meat with internal and external fat attached."
F006875,"Pork, butterfly steak, lean, raw","Raw lean muscle meat from the midsection of the carcase, with all possible internal and external separable fat removed."
F006874,"Pork, butterfly steak, lean, grilled, no added fat","Cooked pork from the midsection of the carcase. Grilled, as purchased, for 9 minutes without added fat. All possible internal and external separable fat removed after cooking."
F006866,"Pork, butterfly steak, untrimmed, raw","Raw pork from the midsection of the carcase, as purchased without removal of internal and external separable fat."
F006864,"Pork, butterfly steak, untrimmed, grilled, no added fat","Cooked pork from the midsection of the carcase, as purchased, without removal of internal and external separable fat. Grilled, as purchased, for 9 minutes without added fat."
F006883,"Pork, diced, untrimmed, raw","Raw lean diced pork, as purchased, likely to be from leg or shoulder steak."
F006881,"Pork, diced, untrimmed, fried, no added fat","Cooked lean diced pork, as purchased, likely to be from leg or shoulder steak. Fried for 5-8 minutes to an internal temperature of 73 degrees celsius with a small amount of pork fat."
F006899,"Pork, fillet, lean, raw","Raw lean pork from the loin portion of the carcase, as purchased with no separable fat."
F006892,"Pork, fillet, fully-trimmed, baked, no added fat","Cooked lean pork from the loin region of the carcase. Oven baked, as purchased with no separable fat, at 180 degrees celsius to an internal temperature of 70 degrees celsius with no added fat."
F006906,"Pork, forequarter (chop, roast, neck), separable fat, raw","Raw internal and external fat from 3 cuts (chop, roast and neck) of pork from the forequarter of the carcase."
F006940,"Pork, forequarter, separable fat, BBQ'd, no added fat","Cooked internal and external fat from 3 cuts (chop, roast and neck) of pork from the forequarter of the carcase. Barbecued or baked, as purchased, with no added fat, then dissected."
F006922,"Pork, forequarter chop, lean, raw","Raw lean muscle meat from the forequarter of the carcase, with all possible internal and external separable fat removed."
F006921,"Pork, forequarter chop, lean, BBQ'd, no added fat",Cooked pork from the forequarter of the carcase. Barbequed with no added fat. All possible internal and external separable fat removed after cooking.
F006919,"Pork, forequarter chop, semi-trimmed, BBQ'd, no added fat",Cooked pork from the forequarter of the carcase. Barbequed with no added fat. Trimmed of most external fat after cooking.
F006910,"Pork, forequarter chop, untrimmed, raw","Raw pork from the forequarter of the carcase, as purchased without removal of internal and external fat."
F006908,"Pork, forequarter chop, untrimmed, BBQ'd, no added fat","Cooked pork from the forequarter of the carcase, as purchased without removal of internal and external fat. Barbequed with no added fat."
F006933,"Pork, forequarter shoulder roast, lean, raw","Raw lean muscle meat from the forequarter of the carcase, with all possible internal and external separable fat removed."
F006932,"Pork, forequarter shoulder roast, lean, BBQ'd, no added fat","Cooked pork from the forequarter of the carcase. Barbequed as purchased, for 75 minutes with no added fat. All possible internal and external separable fat removed after cooking."
F006931,"Pork, forequarter shoulder roast, semi-trimmed, BBQ'd, no added fat","Cooked pork from the forequarter of the carcase. Barbequed as purchased, for 75 minutes with no added fat. Trimmed of most external fat after cooking."
F006929,"Pork, forequarter shoulder roast, untrimmed, raw","Raw pork from the forequarter of the carcase, as purchased without removal of internal and external fat."
F006927,"Pork, forequarter shoulder roast, untrimmed, BBQ'd, no added fat","Cooked pork from the forequarter of the carcase, as purchased without removal of internal and external separable fat. Barbequed as purchased, for 75 minutes with no added fat."
F006953,"Pork, leg roast, untrimmed, raw","Raw pork from the hind portion of the carcase, as purchased without the removal of internal and external separable fat."
F006951,"Pork, leg roast, untrimmed, baked, no added fat",Cooked pork from the hind portion of the carcase. Oven baked at 180 degrees celsius to an  internal temperature of 75 degrees celsius with no added fat.
F006965,"Pork, leg steak (rump), separable fat, raw",Raw internal and external separable fat from 1 cut (rump) of pork from the hind portion of the carcase.
F006964,"Pork, leg steak (rump), separable fat, fried, no added fat","Cooked internal and external separable fat from 1 cut (rump) of pork from the hind portion of the carcase. Fried, as purchased, to an internal temperature of 70 degrees celsius with a small amount of pork fat, then dissected."
F006963,"Pork, leg steak (round, rump, topside, silverside), lean, raw","Raw lean muscle meat from 4 cuts (round, rump, topside and silverside) or pork from the hind portion of the carcase, with all possible internal and external separable fat removed."
F006962,"Pork, leg steak (round, rump, topside, silverside), lean, fried, no added fat","Cooked lean muscle meat from 4 cuts (round, rump, topside and silverside) of pork from the hind portion of the carcase. Fried, as purchased, to an internal temperature of 70 degrees celsius with a small amount of pork fat. All possible internal and external separable fat removed."
F006960,"Pork, leg steak (round, rump, topside, silverside), untrimmed, raw","Raw pork from 4 cuts (round, rump, topside and silverside) of pork from the hind portion of the carcase, as purchased without removal of internal and external fat."
F006959,"Pork, leg steak (round, rump, topside, silverside), untrimmed, fried, no added fat","Cooked pork from 4 cuts (round, rump, topside and silverside) of pork from the hind portion of the carcase, as purchased without removal of internal and external separable fat. Fried to an internal temperature of 70 degree celsius with a small amount of pork fat."
F007016,"Pork, loin chop, separable fat, raw",Raw internal and external separable fat from the lumbar part of loin.
F007015,"Pork, loin chop, separable fat, BBQ'd, no added fat",Cooked internal and external separable fat from the lumbar part of loin. Barbequed with no added fat.
F007019,"Pork, loin chop, lean, raw","Raw lean muscle meat from the loin portion of the carcase, with all possible internal and external separable fat removed."
F007017,"Pork, loin chop, lean, BBQ'd, no added fat","Cooked lean muscle meat from the loin of carcase, with all possible internal and external separable fat removed. Barbequed with no added fat."
F007014,"Pork, loin chop, semi-trimmed, raw","Raw pork from the lumbar part of the loin, with removal of external separable fat."
F007012,"Pork, loin chop, semi-trimmed, BBQ'd, no added fat",Cooked pork from the lumbar part of the loin. Barbequed with no added fat. Majority of fat is removed after cooking but a small amount (5% of edible portion) remains.
F006993,"Pork, loin chop, untrimmed, raw","Raw pork from the lumbar part of loin, as purchased without removal of internal and external separable fat."
F006991,"Pork, loin chop, untrimmed, BBQ'd, no added fat","Cooked pork from the lumbar part of loin, as purchased without removal of internal and external separable fat. Barbequed with no added fat."
F007028,"Pork, loin cutlet, untrimmed, raw","Raw pork from the midsection of the carcase, as purchased without removal of internal and external fat."
F007027,"Pork, loin cutlet, untrimmed, fried, no added fat","Cooked pork from the midsection of the carcase, as purchased without removal of internal and external fat. Fried with no added fat."
F007035,"Pork, loin roast, separable fat, raw",Raw internal and external separable fat from the midsection of the carcase.
F007034,"Pork, loin roast, separable fat, baked, no added fat","Cooked internal and external separable fat from the midsection of the carcase. Oven baked, as purchased, at 180 degrees celsius to an internal temperature of 75 degrees celsius, then dissected."
F007037,"Pork, loin roast, lean, raw","Raw lean muscle meat from the midsection of the carcase, with all possible internal and external separable fat removed."
F007036,"Pork, loin roast, lean, baked, no added fat",Cooked pork from the midsection of the carcase. Oven baked at 180 degrees celsius to an internal temperature of 75 degrees celsius with no added fat. All possible internal and external separable fat removed after cooking.
F007030,"Pork, loin roast, untrimmed, raw","Raw pork from the midsection of the carcase, as purchased without removal of internal and external fat."
F007029,"Pork, loin roast, untrimmed, baked, no added fat","Cooked pork from the midsection of the carcase, as purchased without removal of internal and external fat. Oven baked at 180 degrees celsius to an internal temperature of 75 degrees celsius with no added fat"
F007046,"Pork, medallion or loin steak, separable fat, raw",Raw internal and external separable fat from the midsection of the carcase.
